I
1100 Version - data cycle 2306, build 20240704, metadata AwyXP1100. Copyright (c) 2024 Navigraph, Datasource Jeppesen

07EBA DT 11 GILEX DT 11 N 1  95 245 G869
26KIN FZ 11 DITRO FZ 11 N 1  40 245 ATS14
26KIN FZ 11 KI452 FZ 11 N 1  40 245 ATS14
60VLI NF 11 KAPNO AG 11 N 1   0 600 B590
60VLI NF 11 KAPNO AG 11 N 2   0 600 B590
61YCY CY 11 JULET CY 11 N 1  90 179 BR20
62KGI FZ 11 EDLAM FZ 11 N 2 245 600 UR984
62KGI FZ 11 GUROT FZ 11 N 2 245 600 UR984
62KGI FZ 11 IVDIG FZ 11 N 1  32 245 ATS1
68KTM HS 11 SODIL HS 11 F 2 285 600 Q563
68KTM HS 11 TIKAT HA 11 F 2 285 600 N321
72PCA ZJ 11 DONDA ZJ 11 F 1   0 600 M771
72PCA ZJ 11 DONDA ZJ 11 F 2   0 600 M771
   AA BG  2 ASMOD BG 11 N 1   0 195 W31
   AA BG  2 ASMOD BG 11 N 2 195 285 UW31
   AA BG  2 GODUT BG 11 N 1   0 195 W22
   AA BG  2 KUKAK BG 11 N 1   0 195 W30
   AA BG  2 KUKAK BG 11 N 2 195 285 UW30
   AA BG  2 NYGAR BG 11 N 2 195 285 UW22
AADCO K2 11 LOLIC K2 11 N 1 115 179 V257
AADCO K2 11 VERNE K2 11 N 1 115 179 V257
  AAE VA  3 AGRIX VA 11 N 2 290 460 L639
  AAE VA  3 AMVIG VA 11 N 1  75 250 G472
  AAE VA  3 AMVIG VA 11 N 2 260 460 G472-N895
  AAE VA  3 BEPDA VA 11 N 2 290 460 Z8
  AAE VA  3 BODAR VA 11 N 1  75 460 W40
  AAE VA  3 BODAR VA 11 N 2  75 460 W40
  AAE VA  3   BVR VA  3 F 1  75 460 R458
  AAE VA  3   BVR VA  3 F 2  75 460 R458
  AAE VA  3    KS VA  2 N 1  75 460 W63
  AAE VA  3    KS VA  2 N 2  75 460 W63
  AAE VA  3 LAXOM VA 11 N 1  75 460 W135
  AAE VA  3 LAXOM VA 11 N 2  75 460 L639-W135
  AAE VA  3 MIBOG VI 11 N 1 110 460 J50
  AAE VA  3 MIBOG VI 11 N 2 110 460 J50
  AAE VA  3   QQZ VA  3 N 1  75 460 W97
  AAE VA  3   QQZ VA  3 N 2  75 460 W97
  AAE VA  3   RKT VA  3 N 1  75 460 W62
  AAE VA  3   RKT VA  3 N 2  75 460 W62
  AAE VA  3 SASRO VA 11 F 1  75 250 G451
  AAE VA  3 SASRO VA 11 F 2  75 250 G451-N895
  AAE VA  3 UGISO VA 11 N 1  75 460 W58
  AAE VA  3 UGISO VA 11 N 2  75 460 W58
  AAE VA  3   UUD VA  3 F 2 290 460 Q3
AAGIN K5 11 SLONI K5 11 N 1  30 175 T325
AAGIN K5 11 SMARS K5 11 N 1  30 175 T325
  AAL EK  3 ADSEN EK 11 N 1  35 660 M725
  AAL EK  3 ADSEN EK 11 N 2  35 660 M725
  AAL EK  3 ARTOR EN 11 N 1  35 660 P615
  AAL EK  3 ARTOR EN 11 N 2  35 660 P615
  AAL EK  3 DETNA EK 11 N 1 285 660 N866
  AAL EK  3 DETNA EK 11 N 2 285 660 N866
  AAL EK  3 INTET EK 11 N 1  95 660 P622
  AAL EK  3 INTET EK 11 N 2  95 660 P622
  AAL EK  3 KEMEG EK 11 N 1  35 660 N866
  AAL EK  3 KEMEG EK 11 N 2  35 660 N866
  AAL EK  3 KOVIK EN 11 N 1  35 660 P990
  AAL EK  3 KOVIK EN 11 N 2  35 660 P990
  AAL EK  3 KUVUS EK 11 F 1  95 660 N607
  AAL EK  3 KUVUS EK 11 F 2  95 660 N607
  AAL EK  3 LAGUM EK 11 N 1  35 660 L621
  AAL EK  3 LAGUM EK 11 N 2  35 660 L621
  AAL EK  3 LAPMA EK 11 N 1  35 660 L621
  AAL EK  3 LAPMA EK 11 N 2  35 660 L621
  AAL EK  3 LASRO EK 11 N 1  95 660 N607
  AAL EK  3 LASRO EK 11 N 2  95 660 N607
  AAL EK  3 NERDO EN 11 N 1  35 660 P621
  AAL EK  3 NERDO EN 11 N 2  35 660 P621
  AAL EK  3 RADIS EK 11 N 1  35 660 P615
  AAL EK  3 RADIS EK 11 N 2  35 660 P615
  AAL EK  3 RETKA EN 11 N 1  95 660 P622
  AAL EK  3 RETKA EN 11 N 2  95 660 P622
  AAL EK  3 TESPI EK 11 F 1  35 660 T551
  AAL EK  3 TESPI EK 11 F 2  35 660 T551
  AAL EK  3 TINAC EK 11 N 2 245 660 T138
  AAL EK  3 VAXIT EK 11 N 2 245 660 Z716
AALIX K1 11 BAALE K1 11 N 1  85 175 T332
AALIX K1 11 CRNEL K1 11 N 1  72 175 T332
AAMYY PA 11 POWAL PA 11 N 2 180 600 R451
AAMYY PA 11 WALLT PA 11 N 2 180 600 R451
AANTS K6 11 HOAGE K6 11 N 1  60 179 V143-V3-V39
AANTS K6 11 KERRE K6 11 N 1  60 179 V143-V3-V39
AANTS K6 11 TEAKK K6 11 N 1  65 179 V286
   AA NZ  3 AGREX NZ 11 N 1   0 460 A580
   AA NZ  3 AGREX NZ 11 N 2   0 460 A580
   AA NZ  3 AKLOM NZ 11 N 1   0 460 G594
   AA NZ  3 AKLOM NZ 11 N 2   0 460 G594
   AA NZ  3    AP NZ  2 N 1   0 460 W115
   AA NZ  3    AP NZ  2 N 2   0 460 W115
   AA NZ  3 BIKOT NZ 11 N 1   0 460 H259
   AA NZ  3 BIKOT NZ 11 N 2   0 460 H259
   AA NZ  3 BOVRU NZ 11 N 1   0 460 Q136
   AA NZ  3 BOVRU NZ 11 N 2   0 460 Q136
   AA NZ  3 BROOK NZ 11 N 1   0 460 Q277
   AA NZ  3 BROOK NZ 11 N 2   0 460 Q277
   AA NZ  3 DUGAN NZ 11 N 1   0 460 A597
   AA NZ  3 DUGAN NZ 11 N 2   0 460 A597
   AA NZ  3 HOOKS NZ 11 N 1   0 460 Q162
   AA NZ  3 HOOKS NZ 11 N 2   0 460 Q162
   AA NZ  3 IGABI NZ 11 N 1   0 460 H182
   AA NZ  3 IGABI NZ 11 N 2   0 460 H182
   AA NZ  3 KALAG NZ 11 N 1   0 460 A578
   AA NZ  3 KALAG NZ 11 N 2   0 460 A578
   AA NZ  3 KAPAI NZ 11 F 1   0 460 Y320
   AA NZ  3 KAPAI NZ 11 F 2   0 460 Y320
   AA NZ  3 KARRL NZ 11 N 1   0 460 H384
   AA NZ  3 KARRL NZ 11 N 2   0 460 H384
   AA NZ  3 KAWAU NZ 11 N 1   0 460 Q520
   AA NZ  3 KAWAU NZ 11 N 2   0 460 Q520
   AA NZ  3 KOPPA NZ 11 N 1   0 460 H460
   AA NZ  3 KOPPA NZ 11 N 2   0 460 H460
   AA NZ  3 KYPRA NZ 11 N 1   0 460 G591
   AA NZ  3 KYPRA NZ 11 N 2   0 460 G591
   AA NZ  3 LAKES NZ 11 N 1   0 460 H211
   AA NZ  3 LAKES NZ 11 N 2   0 460 H211
   AA NZ  3 MADEP NZ 11 F 2   0 600 N774
   AA NZ  3 MAYOR NZ 11 N 1   0 460 H107
   AA NZ  3 MAYOR NZ 11 N 2   0 460 H107
   AA NZ  3 MERAS NZ 11 N 1   0 460 Q119
   AA NZ  3 MERAS NZ 11 N 2   0 460 Q119
   AA NZ  3 NUTRA NZ 11 F 1   0 460 T46
   AA NZ  3 NUTRA NZ 11 F 2   0 460 T46
   AA NZ  3 OKTUB NZ 11 N 1   0 460 B575
   AA NZ  3 OKTUB NZ 11 N 2   0 460 B575
   AA NZ  3 OLBEX NZ 11 N 1   0 460 G599
   AA NZ  3 OLBEX NZ 11 N 2   0 460 G599
   AA NZ  3 OTATA NZ 11 N 1   0 460 Q271
   AA NZ  3 OTATA NZ 11 N 2   0 460 Q271
   AA NZ  3 PEBLU NZ 11 N 2   0 460 N759
   AA NZ  3 PUHOI NZ 11 N 1   0 460 H379
   AA NZ  3 PUHOI NZ 11 N 2   0 460 H379
   AA NZ  3 SALAG NZ 11 N 1   0 460 A346
   AA NZ  3 SALAG NZ 11 N 2   0 460 A346
   AA NZ  3 TARIB NZ 11 N 1   0 460 G347
   AA NZ  3 TARIB NZ 11 N 2   0 460 G347
   AA NZ  3 TULMI NZ 11 N 1   0 460 H372
