phase,param,opt,min,max,model,pm
TO,to_v_lof,89.6,75.8,103.4,norm,89.6|9.6
TO,to_d_tof,1.84,0.99,2.91,gamma,78.62|-1.78|0.05
TO,to_acc_tof,1.95,1.40,2.34,beta,5122765.23|31.09|-262747.59|262751.08
IC,ic_va_avg,85,72,96,beta,740|67|-692|847
IC,ic_vh_avg,13.20,8.97,16.86,beta,40264574.40|182.66|-7150909.96|7150955.41
CL,cl_d_range,244,165,388,beta,4|11|130|460
CL,cl_v_cas_const,156,137,175,norm,156|13
CL,cl_v_mach_const,0.77,0.67,0.87,norm,0.77|0.07
CL,cl_h_cas_const,5.0,2.6,7.4,norm,5.0|1.2
CL,cl_h_mach_const,7.4,5.5,9.3,norm,7.4|1.0
CL,cl_vh_avg_pre_cas,9.50,7.19,11.81,norm,9.50|1.40
CL,cl_vh_avg_cas_const,7.89,5.14,10.99,gamma,248.61|-20.04|0.11
CL,cl_vh_avg_mach_const,5.35,3.51,7.17,norm,5.34|1.11
CR,cr_d_range,609,201,4065,beta,1|4|161|5743
CR,cr_v_cas_mean,141,117,159,beta,2474|46|-5300|5541
CR,cr_v_cas_max,151,125,172,beta,1927|96|-3131|3446
CR,cr_v_mach_mean,0.78,0.68,0.88,norm,0.78|0.07
CR,cr_v_mach_max,0.83,0.72,0.94,norm,0.83|0.08
CR,cr_h_mean,10.4,9.4,11.4,norm,10.4|0.6
CR,cr_h_max,10.6,9.6,11.5,norm,10.6|0.6
DE,de_d_range,239,178,422,beta,4|1436157|151|35615042
DE,de_v_mach_const,0.77,0.65,0.88,norm,0.76|0.08
DE,de_v_cas_const,151,130,172,norm,151|14
DE,de_h_mach_const,8.7,6.7,10.7,norm,8.7|1.2
DE,de_h_cas_const,5.9,2.7,8.4,beta,9.3|5.9|-3.2|14.5
DE,de_vh_avg_mach_const,-5.46,-12.13,-2.58,beta,1744.56|5.88|-2143.41|2143.94
DE,de_vh_avg_cas_const,-9.14,-13.77,-4.49,norm,-9.13|2.82
DE,de_vh_avg_after_cas,-5.89,-7.93,-3.86,norm,-5.89|1.24
FA,fa_va_avg,72,61,82,norm,72|7
FA,fa_vh_avg,-3.68,-4.37,-3.00,norm,-3.68|0.42
LD,ld_v_app,69.9,59.5,80.2,norm,69.9|7.2
LD,ld_d_brk,1.76,0.46,4.69,beta,2.07|3.94|0.25|5.64
LD,ld_acc_brk,-1.04,-1.98,-0.49,beta,36077977.72|13.21|-4535718.81|4535719.31
