phase,param,opt,min,max,model,pm
TO,to_v_lof,90.7,74.4,107.1,norm,90.7|11.4
TO,to_d_tof,2.04,1.18,2.89,norm,2.04|0.52
TO,to_acc_tof,1.81,1.33,2.28,norm,1.81|0.29
IC,ic_va_avg,90,77,103,norm,90|9
IC,ic_vh_avg,12.15,7.72,16.60,norm,12.16|2.70
CL,cl_d_range,243,149,336,norm,243|40
CL,cl_v_cas_const,157,141,174,norm,157|11
CL,cl_v_mach_const,0.78,0.70,0.86,norm,0.78|0.06
CL,cl_h_cas_const,5.2,2.7,7.7,norm,5.2|1.3
CL,cl_h_mach_const,7.7,5.9,9.5,norm,7.7|0.9
CL,cl_vh_avg_pre_cas,10.42,8.14,12.70,norm,10.42|1.39
CL,cl_vh_avg_cas_const,8.76,5.81,11.71,norm,8.76|1.79
CL,cl_vh_avg_mach_const,5.74,3.94,7.54,norm,5.74|1.09
CR,cr_d_range,628,198,4404,beta,1|3|159|5278
CR,cr_v_cas_mean,139,121,158,norm,139|12
CR,cr_v_cas_max,150,129,170,norm,150|14
CR,cr_v_mach_mean,0.79,0.70,0.88,norm,0.79|0.06
CR,cr_v_mach_max,0.84,0.75,0.93,norm,0.84|0.06
CR,cr_h_mean,10.5,9.6,11.4,norm,10.5|0.5
CR,cr_h_max,10.7,9.8,11.6,norm,10.7|0.5
DE,de_d_range,247,187,463,beta,3|1643969|167|52938021
DE,de_v_mach_const,0.76,0.66,0.86,norm,0.76|0.07
DE,de_v_cas_const,149,132,166,norm,149|11
DE,de_h_mach_const,9.4,6.9,10.5,beta,17903.7|6.6|-7669.5|7681.3
DE,de_h_cas_const,6.1,2.9,8.6,beta,8.9|5.6|-2.6|13.9
DE,de_vh_avg_mach_const,-6.16,-10.82,-1.51,norm,-6.16|2.83
DE,de_vh_avg_cas_const,-8.81,-13.29,-4.33,norm,-8.81|2.72
DE,de_vh_avg_after_cas,-5.73,-7.70,-3.78,norm,-5.74|1.19
FA,fa_va_avg,76,63,88,beta,8|6|37|69
FA,fa_vh_avg,-3.92,-4.71,-3.13,norm,-3.92|0.48
LD,ld_v_app,74.7,62.8,86.6,norm,74.7|8.3
LD,ld_d_brk,1.64,0.74,4.30,gamma,3.89|0.00|0.57
LD,ld_acc_brk,-1.23,-2.10,-0.53,beta,9.95|6.52|-3.74|4.07
