phase,param,opt,min,max,model,pm
TO,to_v_lof,98.2,80.3,112.4,beta,2128386.4|68.2|-2873621.0|2873809.9
TO,to_d_tof,2.24,1.07,3.41,norm,2.24|0.50
TO,to_acc_tof,1.87,1.36,2.25,beta,86836.59|39.71|-3731.38|3734.91
IC,ic_va_avg,97,84,111,norm,97|9
IC,ic_vh_avg,12.95,9.59,16.29,norm,12.94|2.04
CL,cl_d_range,221,172,328,beta,8|6932|136|81691
CL,cl_v_cas_const,170,152,184,beta,84442|53|-128742|128993
CL,cl_v_mach_const,0.84,0.74,0.92,beta,3047.72|55.75|-25.14|26.45
CL,cl_h_cas_const,5.8,2.7,7.9,beta,16.2|7.1|-4.5|14.4
CL,cl_h_mach_const,7.9,6.2,9.6,norm,7.9|0.9
CL,cl_vh_avg_pre_cas,9.45,7.24,11.65,norm,9.45|1.34
CL,cl_vh_avg_cas_const,8.80,5.47,12.12,norm,8.79|2.02
CL,cl_vh_avg_mach_const,6.23,3.66,9.54,gamma,57.52|-7.11|0.24
CR,cr_d_range,6918,-1005,14839,norm,6916|3405
CR,cr_v_cas_mean,152,138,165,norm,152|9
CR,cr_v_cas_max,173,151,195,norm,173|15
CR,cr_v_mach_mean,0.85,0.79,0.91,norm,0.85|0.04
CR,cr_v_mach_max,0.94,0.86,1.02,norm,0.94|0.06
CR,cr_h_mean,10.5,9.7,11.3,norm,10.5|0.5
CR,cr_h_max,11.0,10.3,11.7,norm,11.0|0.4
DE,de_d_range,262,198,446,gamma,4|170|24
DE,de_v_mach_const,0.82,0.70,0.91,beta,25507678.89|31.23|-334348.79|334350.01
DE,de_v_cas_const,157,136,174,beta,58|21|-41|270
DE,de_h_mach_const,9.1,7.2,11.0,norm,9.1|1.2
DE,de_h_cas_const,6.1,3.4,8.8,norm,6.1|1.6
DE,de_vh_avg_mach_const,-6.57,-12.70,-2.96,beta,7.68|3.65|-22.54|22.31
DE,de_vh_avg_cas_const,-9.12,-12.83,-4.25,gamma,49.73|-27.19|0.37
DE,de_vh_avg_after_cas,-6.04,-7.86,-4.22,norm,-6.04|1.11
FA,fa_va_avg,77,65,88,norm,77|8
FA,fa_vh_avg,-3.98,-4.48,-3.29,gamma,33.82|-6.03|0.06
LD,ld_v_app,75.5,64.1,87.0,norm,75.5|8.0
LD,ld_d_brk,1.62,0.60,4.51,gamma,4.87|0.13|0.38
LD,ld_acc_brk,-1.26,-1.97,-0.63,beta,18.20|12.90|-4.02|4.68
