# code,name,lat,lon,class,alt,country code
, (Under construction) New Islamabad International Airport, 32.565, 72.941, Large, , PK
, 02 RANCH, 29.875, -103.697, Small, 5000, US/TX
, 100 AKER WOOD, 35.773, -84.765, Small, 1914, US/TN
, 13 De Diciembre Airport, -45.903, -67.556, Small, , AR
, 1669 Diamondview Road Private Strip, 45.318, -76.056, Small, , CA
, 1797 Diamondview Road Private Strip, 45.331, -76.073, Small, , CA
, 2 X 4 RANCH, 32.78, -104.381, Small, 2400, US/NM
, 29NC, 35.312, -81.625, Small, 1843, US/NC
, 3 RIVERS RECREATION AREA, 44.558, -121.401, Small, 5000, US/OR
, 3-I ROCKER RANCH, 40.416, -109.344, Small, 1800, US/UT
, "3-MS", 33.186, -84.368, Small, 3000, US/GA
, 33 STRIP, 37.67, -121.328, Small, 1600, US/CA
, 4 WINDS AERODROME, 39.825, -86.883, Small, 1900, US/IN
, 4-G RANCH, 27.384, -98.31, Small, 3515, US/TX
, 4-SHIPP, 34.038, -98.496, Small, 1849, US/TX
, 4B RANCH, 32.41, -91.349, Small, 2360, US/LA
, 4M RANCH AIRFIELD, 30.021, -101.573, Small, 5000, US/TX
, 5 LAKES, 39.913, -77.533, Small, 2300, US/PA
, 5B RANCH, 35.73, -97.541, Small, 2400, US/OK
, 7 BAYS, 47.851, -118.33, Small, 2600, US/WA
, 7R RANCH, 34.936, -119.452, Small, 2350, US/CA
, 85TH AVENUE AIRSTRIP, 29.485, -82.022, Small, 3000, US/FL
, A & L, 37.552, -87.271, Small, 1400, US/KY
, A & P AIRPARK, 30.727, -91.149, Small, 3000, US/LA
, A A RANCH, 41.158, -106.558, Small, 5700, US/WY
, A G A FARMS, 40.426, -75.232, Small, 2800, US/PA
, "A JS", 35.02, -93.065, Small, 2300, US/AR
, A L MANGHAM JR RGNL, 31.578, -94.71, Large, 5000, US/TX
, A P HILL AAF, 38.069, -77.318, Medium, 2201, US/VA
, A W RANCH, 29.259, -98.458, Small, 1800, US/TX
, A Z MINERALS CORPORATION, 37.121, -109.986, Small, 5000, US/UT
, A&A FLYING SERVICE, 29.536, -95.264, Small, 2000, US/TX
, A.R.S. SPORT STRIP, 44.667, -93.784, Small, 2505, US/MN
, AARON PENSTON FLD, 36.666, -78.723, Small, 1800, US/VA
, ABAETE, -19.156, -45.495, Small, 3937, BR
, ABARE, -8.737, -39.115, Small, 3885, BR
, "ABBAS", 45.103, -123.419, Small, 1900, US/OR
, ABBEVILLE, 34.152, -82.354, Small, 2250, US/SC
, ABBEVILLE CHRIS CRUSTA MEM, 29.976, -92.084, Small, 5000, US/LA
, ABBEVILLE MUNI, 31.6, -85.238, Small, 2915, US/AL
, ABBOTT, 36.945, -79.797, Small, 1800, US/VA
, ABEL RANCH, 37.368, -96.878, Small, 2300, US/KS
, ABEL RANCH, 48.107, -114.177, Small, 3000, US/MT
, ABERDEEN FIELD, 37.024, -76.589, Small, 5921, US/VA
, ABERDEEN MUNI, 42.921, -112.881, Small, 3650, US/ID
, ABERNATHY FLD, 35.154, -87.057, Small, 5001, US/TN
, ABERNATHY MUNI, 33.846, -101.763, Small, 4000, US/TX
, ABI, 61.629, -149.043, Small, 1000, US/AK
, ABIDE AIRPARK, 33.306, -90.99, Small, 2285, US/MS
, ABILENE EXECUTIVE AIRPARK, 32.449, -99.62, Small, 2723, US/TX
, ABILENE MUNI, 38.904, -97.236, Small, 4100, US/KS
, ABLE AIRPARK, 30.595, -84.981, Small, 2000, US/FL
, ABRAHAM RANCH, 34.415, -116.623, Small, 4000, US/CA
, ABRAMS MUNI, 42.774, -84.733, Large, 3200, US/MI
, ABU AD DUHUR, 35.732, 37.104, Medium, 9810, SY
, ABU DHABI NORTHEAST, 24.519, 54.98, Small, 7080, AE
, ABU ROAD, 24.494, 72.782, Small, 3540, US/VA
, ABU RUDEIS, 28.899, 33.202, Small, 6530, EG
, ABU SUWAYR, 30.573, 32.095, Medium, 9752, EG
, ACADIANA RGNL, 30.038, -91.884, Large, 8002, US/LA
, ACCOMACK CO, 37.647, -75.761, Small, 5004, US/VA
, ACCURATE, 43.971, -89.997, Small, 2600, US/WI
, ACE FLYING, 30.237, -91.83, Small, 3000, US/LA
, ACKERMAN CHOCTAW CO, 33.303, -89.228, Small, 3000, US/MS
, ACKLEY MUNI, 42.547, -93.033, Small, 2725, US/IA
, ACME FIELD, 48.71, -122.178, Small, 1400, US/WA
, ACRES OF DIAMONDS AIRPARK, 30.886, -85.164, Small, 3000, US/FL
, ACTION AIRPARK, 39.133, -84.829, Ultralight, 1577, US/IN
, ACU, -5.595, -36.961, Small, 4670, BR
, ADA, 40.791, -83.829, Small, 1955, US/OH
, ADA MUNI, 34.804, -96.671, Large, 6203, US/OK
, ADAIR, 36.753, -85.954, Small, 1800, US/KY
, ADAIR AIRSTRIP, 42.792, -82.639, Small, 1800, US/MI
, ADAK, 51.878, -176.646, Small, 7790, US/AK
, ADAMS, 33.397, -84.46, Small, 1830, US/GA
, ADAMS, 34.576, -79.249, Small, 3600, US/NC
, ADAMS, 40.616, -84.835, Small, 2000, US/IN
, ADAMS, 41.879, -78.115, Small, 2900, US/PA
, ADAMS COUNTY LEGION FIELD, 43.961, -89.788, Small, 3400, US/WI
, ADAMS PVT, 37.903, -89.138, Small, 1700, US/IL
, ADAMS RANCH, 27.442, -80.584, Small, 2625, US/FL
, ADAMS RLA NUMBER 1, 40.942, -88.75, Small, 3600, US/IL
, ADAMS RLA NUMBER 2, 40.935, -88.738, Small, 2450, US/IL
, ADAMS STRIP, 40.062, -84.379, Small, 2400, US/OH
, ADDINGTON FIELD, 33.249, -97.224, Small, 2600, US/TX
, ADDINGTON FLD, 37.686, -85.925, Large, 6001, US/KY
, ADDISON, 32.969, -96.836, Large, 6431, US/TX
, ADDISON MUNI, 34.209, -87.158, Small, 2631, US/AL
, ADELANTO, 34.537, -117.461, Small, 5100, US/CA
, ADEN FIELD, 38.648, -77.533, Small, 2000, US/VA
, ADIN, 41.187, -120.954, Small, 2850, US/CA
, ADIRONDACK AIRPARK ESTATES, 44.609, -73.858, Small, 2050, US/NY
, ADJUNTAS, 18.18, -66.757, Small, 1600, US/PR
, ADKINS RLA, 42.353, -88.635, Small, 1950, US/IL
, ADKISSON, 39.783, -88.621, Small, 2160, US/IL
, ADOBE RANCH PRIVATE, 33.576, -107.9, Small, 3900, US/NM
, ADUSTINA, -10.581, -38.089, Small, 3610, BR
, ADVENTURES ALOFT, 38.873, -91.3, Small, 2075, US/MO
, AELERON, 30.404, -92.024, Small, 2000, US/LA
, AEREQUUS, 40.391, -75.014, Small, 3100, US/PA
, AERIE, 33.762, -83.653, Small, 2000, US/GA
, AERO ACRES, 27.342, -80.522, Small, 3150, US/FL
, AERO ACRES, 41.038, -88.338, Small, 3000, US/IL
, AERO BEAR FIELD, 39.198, -104.329, Small, 2150, US/CO
, AERO BRITTON, 39.129, -92.731, Small, 2500, US/MO
, AERO COUNTRY, 33.208, -96.742, Small, 4055, US/TX
, AERO ESTATES, 32.082, -95.453, Small, 3100, US/TX
, AERO ESTATES, 38.524, -90.057, Small, 2500, US/IL
, AERO ESTATES, 42.84, -88.064, Small, 3000, US/WI
, AERO FLIGHT CENTER, 40.859, -80.535, Small, 3000, US/OH
