0, 0 , -4.0 , -4.0, Large , 0, BS

1, 1 , -4.0 , -3.5, Large , 0, BS

2, 2 , -4.0 , -3.0, Large , 0, BS

3, 3 , -4.0 , -2.5, Large , 0, BS

4, 4 , -4.0 , -2.0, Large , 0, BS

5, 5 , -4.0 , -1.5, Large , 0, BS

6, 6 , -4.0 , -1.0, Large , 0, BS

7, 7 , -4.0 , -0.5, Large , 0, BS

8, 8 , -4.0 , 0.0, Large , 0, BS

9, 9 , -4.0 , 0.5, Large , 0, BS

A, 10 , -4.0 , 1.0, Large , 0, BS

B, 11 , -4.0 , 1.5, Large , 0, BS

C, 12 , -4.0 , 2.0, Large , 0, BS

D, 13 , -4.0 , 2.5, Large , 0, BS

E, 14 , -4.0 , 3.0, Large , 0, BS

F, 15 , -4.0 , 3.5, Large , 0, BS

10, 16 , -4.0 , 4.0, Large , 0, BS

11, 17 , -3.5 , -4.0, Large , 0, BS

12, 18 , -3.5 , -3.5, Large , 0, BS

13, 19 , -3.5 , -3.0, Large , 0, BS

14, 20 , -3.5 , -2.5, Large , 0, BS

15, 21 , -3.5 , -2.0, Large , 0, BS

16, 22 , -3.5 , -1.5, Large , 0, BS

17, 23 , -3.5 , -1.0, Large , 0, BS

18, 24 , -3.5 , -0.5, Large , 0, BS

19, 25 , -3.5 , 0.0, Large , 0, BS

1A, 26 , -3.5 , 0.5, Large , 0, BS

1B, 27 , -3.5 , 1.0, Large , 0, BS

1C, 28 , -3.5 , 1.5, Large , 0, BS

1D, 29 , -3.5 , 2.0, Large , 0, BS

1E, 30 , -3.5 , 2.5, Large , 0, BS

1F, 31 , -3.5 , 3.0, Large , 0, BS

20, 32 , -3.5 , 3.5, Large , 0, BS

21, 33 , -3.5 , 4.0, Large , 0, BS

22, 34 , -3.0 , -4.0, Large , 0, BS

23, 35 , -3.0 , -3.5, Large , 0, BS

24, 36 , -3.0 , -3.0, Large , 0, BS

25, 37 , -3.0 , -2.5, Large , 0, BS

26, 38 , -3.0 , -2.0, Large , 0, BS

27, 39 , -3.0 , -1.5, Large , 0, BS

28, 40 , -3.0 , -1.0, Large , 0, BS

29, 41 , -3.0 , -0.5, Large , 0, BS

2A, 42 , -3.0 , 0.0, Large , 0, BS

2B, 43 , -3.0 , 0.5, Large , 0, BS

2C, 44 , -3.0 , 1.0, Large , 0, BS

2D, 45 , -3.0 , 1.5, Large , 0, BS

2E, 46 , -3.0 , 2.0, Large , 0, BS

2F, 47 , -3.0 , 2.5, Large , 0, BS

30, 48 , -3.0 , 3.0, Large , 0, BS

31, 49 , -3.0 , 3.5, Large , 0, BS

32, 50 , -3.0 , 4.0, Large , 0, BS

33, 51 , -2.5 , -4.0, Large , 0, BS

34, 52 , -2.5 , -3.5, Large , 0, BS

35, 53 , -2.5 , -3.0, Large , 0, BS

36, 54 , -2.5 , -2.5, Large , 0, BS

37, 55 , -2.5 , -2.0, Large , 0, BS

38, 56 , -2.5 , -1.5, Large , 0, BS

39, 57 , -2.5 , -1.0, Large , 0, BS

3A, 58 , -2.5 , -0.5, Large , 0, BS

3B, 59 , -2.5 , 0.0, Large , 0, BS

3C, 60 , -2.5 , 0.5, Large , 0, BS

3D, 61 , -2.5 , 1.0, Large , 0, BS

3E, 62 , -2.5 , 1.5, Large , 0, BS

3F, 63 , -2.5 , 2.0, Large , 0, BS

40, 64 , -2.5 , 2.5, Large , 0, BS

41, 65 , -2.5 , 3.0, Large , 0, BS

42, 66 , -2.5 , 3.5, Large , 0, BS

43, 67 , -2.5 , 4.0, Large , 0, BS

44, 68 , -2.0 , -4.0, Large , 0, BS

45, 69 , -2.0 , -3.5, Large , 0, BS

46, 70 , -2.0 , -3.0, Large , 0, BS

47, 71 , -2.0 , -2.5, Large , 0, BS

48, 72 , -2.0 , -2.0, Large , 0, BS

49, 73 , -2.0 , -1.5, Large , 0, BS

4A, 74 , -2.0 , -1.0, Large , 0, BS

4B, 75 , -2.0 , -0.5, Large , 0, BS

