N060.06.00.000 E026.27.25.000 N059.53.00.000 E025.52.40.000 
N059.53.00.000 E025.52.40.000 N059.54.06.000 E025.15.03.000 
N059.54.06.000 E025.15.03.000 N059.49.55.000 E024.36.20.000 
N059.49.55.000 E024.36.20.000 N059.00.00.000 E021.00.00.000 
N059.00.00.000 E021.00.00.000 
N060.10.00.000 E019.07.00.000 
N060.10.00.000 E019.07.00.000 
N061.40.00.000 E019.30.00.000 
N061.40.00.000 E019.30.00.000 
N063.10.20.000 E020.10.00.000 
N063.10.20.000 E020.10.00.000 
N063.28.30.000 E020.40.00.000 
N063.28.30.000 E020.40.00.000 
N063.36.00.000 E021.20.00.000 
N063.36.00.000 E021.20.00.000 
N064.40.00.000 E022.54.00.000 
N064.40.00.000 E022.54.00.000 
N063.49.30.000 E025.15.46.000 
N063.49.30.000 E025.15.46.000 
N063.44.30.000 E025.46.50.000 
N063.44.30.000 E025.46.50.000 
N063.45.00.000 E030.00.00.000 
N063.45.00.000 E030.00.00.000 
N062.54.00.000 E031.22.00.000 
N062.54.00.000 E031.22.00.000 
N061.48.00.000 E030.05.00.000 
N061.48.00.000 E030.05.00.000 
N060.15.00.000 E027.20.00.000 
N060.15.00.000 E027.20.00.000 
N060.06.00.000 E026.27.25.000 
N060.06.00.000 E026.27.25.000 
N060.06.00.000 E026.27.25.000 
