N044.13.00.000 E022.40.00.000
N044.12.00.000 E022.42.00.000
N044.12.00.000 E022.44.00.000
N044.12.00.000 E022.45.00.000
N044.10.59.000 E022.45.59.000
N044.09.59.000 E022.48.00.000
N044.08.59.000 E022.49.00.000
N044.08.59.000 E022.51.00.000
N044.07.59.000 E022.53.00.000
N044.07.00.000 E022.53.59.000
N044.06.00.000 E022.56.00.000
N044.06.00.000 E022.57.59.000
N044.06.00.000 E023.00.00.000
N044.06.00.000 E023.00.59.000
N044.05.00.000 E023.02.00.000
N044.04.00.000 E023.02.00.000
N044.02.59.000 E023.02.00.000
N044.01.59.000 E023.00.59.000
N044.00.59.000 E022.59.00.000
N044.00.00.000 E022.57.00.000
N044.00.00.000 E022.56.00.000
N044.00.00.000 E022.53.59.000
N043.59.00.000 E022.53.00.000
N043.58.00.000 E022.53.00.000
N043.57.00.000 E022.52.00.000
N043.55.59.000 E022.52.00.000
N043.53.59.000 E022.51.00.000
N043.53.00.000 E022.51.00.000
N043.52.00.000 E022.51.00.000
N043.51.00.000 E022.51.00.000
N043.50.00.000 E022.52.00.000
N043.50.00.000 E022.53.59.000
N043.50.00.000 E022.56.00.000
N043.49.00.000 E022.57.00.000
N043.47.59.000 E022.59.00.000
N043.47.59.000 E023.00.59.000
N043.47.59.000 E023.03.00.000
N043.47.59.000 E023.03.59.000
N043.47.59.000 E023.06.00.000
N043.49.00.000 E023.07.59.000
N043.49.00.000 E023.08.59.000
N043.49.00.000 E023.11.00.000
N043.50.00.000 E023.12.00.000
N043.50.00.000 E023.14.00.000
N043.51.00.000 E023.15.59.000
N043.51.00.000 E023.18.00.000
N043.51.00.000 E023.19.59.000
N043.51.00.000 E023.21.00.000
N043.51.00.000 E023.23.00.000
N043.51.00.000 E023.25.00.000
N043.51.00.000 E023.27.00.000
N043.51.00.000 E023.27.59.000
N043.50.00.000 E023.30.00.000
N043.50.00.000 E023.30.59.000
N043.49.00.000 E023.33.00.000
N043.47.59.000 E023.34.00.000
N043.47.59.000 E023.36.00.000
N043.47.59.000 E023.37.00.000
N043.47.59.000 E023.38.59.000
N043.47.59.000 E023.40.00.000
N043.49.00.000 E023.42.00.000
N043.47.59.000 E023.44.00.000
N043.47.59.000 E023.45.59.000
N043.46.59.000 E023.47.00.000
N043.46.59.000 E023.49.00.000
N043.45.59.000 E023.49.59.000
N043.45.59.000 E023.52.00.000
N043.45.00.000 E023.53.00.000
N043.45.00.000 E023.55.00.000
N043.45.00.000 E023.56.00.000
N043.45.00.000 E023.57.59.000
N043.44.00.000 E024.00.00.000
N043.44.00.000 E024.00.59.000
N043.43.00.000 E024.03.00.000
N043.42.00.000 E024.04.59.000
N043.42.00.000 E024.07.00.000
N043.42.00.000 E024.07.59.000
N043.40.59.000 E024.10.00.000
N043.40.59.000 E024.12.00.000
N043.40.59.000 E024.14.00.000
N043.42.00.000 E024.15.00.000
N043.42.00.000 E024.15.59.000
N043.42.00.000 E024.18.00.000
N043.42.00.000 E024.19.59.000
N043.42.00.000 E024.21.00.000
N043.43.00.000 E024.23.00.000
N043.43.00.000 E024.23.59.000
N043.44.00.000 E024.26.00.000
N043.44.00.000 E024.27.00.000
N043.45.00.000 E024.27.59.000
N043.45.59.000 E024.30.00.000
N043.45.59.000 E024.32.00.000
N043.45.59.000 E024.33.00.000
N043.45.00.000 E024.34.59.000
N043.45.00.000 E024.36.00.000
N043.45.00.000 E024.38.00.000
N043.44.00.000 E024.38.59.000
N043.43.00.000 E024.40.00.000
N043.43.00.000 E024.42.00.000
N043.43.00.000 E024.42.59.000
N043.43.00.000 E024.45.00.000
N043.43.00.000 E024.45.59.000
N043.43.00.000 E024.48.00.000
N043.43.00.000 E024.49.59.000
N043.43.00.000 E024.51.00.000
N043.43.00.000 E024.53.00.000
N043.43.00.000 E024.53.59.000
N043.43.00.000 E024.56.00.000
N043.44.00.000 E024.57.59.000
N043.44.00.000 E024.59.00.000
N043.43.00.000 E025.00.59.000
N043.43.00.000 E025.02.00.000
N043.42.00.000 E025.03.00.000
N043.42.00.000 E025.04.59.000
N043.40.59.000 E025.06.00.000
N043.40.59.000 E025.07.59.000
N043.40.59.000 E025.10.00.000
N043.40.59.000 E025.11.00.000
N043.40.59.000 E025.12.59.000
N043.40.59.000 E025.15.00.000
N043.39.59.000 E025.15.59.000
N043.39.59.000 E025.17.00.000
N043.38.59.000 E025.19.00.000
N043.38.00.000 E025.19.59.000
N043.38.00.000 E025.22.00.000
N043.37.00.000 E025.23.00.000
N043.38.00.000 E025.25.00.000
N043.38.00.000 E025.26.00.000
N043.38.00.000 E025.27.59.000
N043.38.59.000 E025.30.00.000
N043.38.00.000 E025.33.00.000
N043.38.59.000 E025.34.00.000
N043.38.59.000 E025.34.59.000
N043.39.59.000 E025.37.00.000
N043.40.59.000 E025.38.59.000
N043.42.00.000 E025.40.00.000
N043.42.00.000 E025.42.00.000
N043.42.00.000 E025.44.00.000
N043.42.00.000 E025.45.59.000
N043.43.00.000 E025.47.00.000
N043.44.00.000 E025.48.00.000
N043.45.00.000 E025.49.00.000
N043.45.00.000 E025.49.59.000
N043.45.59.000 E025.52.00.000
N043.46.59.000 E025.53.00.000
N043.47.59.000 E025.53.59.000
N043.49.00.000 E025.55.00.000
N043.50.00.000 E025.56.00.000
N043.51.00.000 E025.56.00.000
N043.52.00.000 E025.57.59.000
N043.52.00.000 E025.59.00.000
N043.53.00.000 E026.00.00.000
N043.53.59.000 E026.02.00.000
N043.53.59.000 E026.03.00.000
N043.54.59.000 E026.03.59.000
N043.57.00.000 E026.04.59.000
N043.57.00.000 E026.06.00.000
N043.58.00.000 E026.07.00.000
N043.59.00.000 E026.07.59.000
N043.59.00.000 E026.10.00.000
N043.59.00.000 E026.12.00.000
N043.59.00.000 E026.12.59.000
N044.00.00.000 E026.14.00.000
N044.00.00.000 E026.15.59.000
N044.00.59.000 E026.17.00.000
N044.01.59.000 E026.18.00.000
N044.01.59.000 E026.19.59.000
N044.01.59.000 E026.21.00.000
N044.02.59.000 E026.23.00.000
N044.02.59.000 E026.23.59.000
N044.01.59.000 E026.26.00.000
N044.02.59.000 E026.27.59.000
N044.02.59.000 E026.29.00.000
N044.02.59.000 E026.30.59.000
N044.04.00.000 E026.33.00.000
N044.04.00.000 E026.34.00.000
N044.02.59.000 E026.36.00.000
N044.04.00.000 E026.38.00.000
N044.04.00.000 E026.38.59.000
N044.04.00.000 E026.41.00.000
N044.05.00.000 E026.42.59.000
N044.05.00.000 E026.45.00.000
N044.05.00.000 E026.45.59.000
N044.06.00.000 E026.47.00.000
N044.06.00.000 E026.49.00.000
N044.07.00.000 E026.51.00.000
N044.07.59.000 E026.53.00.000
N044.07.59.000 E026.53.59.000
N044.07.59.000 E026.57.00.000
N044.07.59.000 E026.59.00.000
N044.08.59.000 E027.00.00.000
N044.08.59.000 E027.02.00.000
N044.08.59.000 E027.03.59.000
N044.08.59.000 E027.06.00.000
N044.08.59.000 E027.07.00.000
N044.07.59.000 E027.08.59.000
N044.07.59.000 E027.11.00.000
N044.07.00.000 E027.12.00.000
N044.07.00.000 E027.14.00.000
N044.07.59.000 E027.15.59.000
N044.07.00.000 E027.17.00.000
