# waypointsExp.dat
# This file contains the spawn point definitions for experiments
# Spawn points are defined to be waypoints
# Each spawn point is defined by the following 7 parameters:
# code, name (N/A), lat [deg], lon [deg], airport (N/A), type (RNAV), country code (INT)

Z0, N/A, 2.91470132478, -2.91470132478, N/A, RNAV, INT

Z1, N/A, 2.91470132478, -2.83142414407, N/A, RNAV, INT

Z2, N/A, 2.91470132478, -2.74814696337, N/A, RNAV, INT

Z3, N/A, 2.91470132478, -2.66486978266, N/A, RNAV, INT

Z4, N/A, 2.91470132478, -2.58159260195, N/A, RNAV, INT

Z5, N/A, 2.91470132478, -2.49831542124, N/A, RNAV, INT

Z6, N/A, 2.91470132478, -2.41503824053, N/A, RNAV, INT

Z7, N/A, 2.91470132478, -2.33176105983, N/A, RNAV, INT

Z8, N/A, 2.91470132478, -2.24848387912, N/A, RNAV, INT

Z9, N/A, 2.91470132478, -2.16520669841, N/A, RNAV, INT

ZA, N/A, 2.91470132478, -2.0819295177, N/A, RNAV, INT

ZB, N/A, 2.91470132478, -1.99865233699, N/A, RNAV, INT

ZC, N/A, 2.91470132478, -1.91537515629, N/A, RNAV, INT

ZD, N/A, 2.91470132478, -1.83209797558, N/A, RNAV, INT

ZE, N/A, 2.91470132478, -1.74882079487, N/A, RNAV, INT

ZF, N/A, 2.91470132478, -1.66554361416, N/A, RNAV, INT

ZG, N/A, 2.91470132478, -1.58226643345, N/A, RNAV, INT

ZH, N/A, 2.91470132478, -1.49898925275, N/A, RNAV, INT

ZI, N/A, 2.91470132478, -1.41571207204, N/A, RNAV, INT

ZJ, N/A, 2.91470132478, -1.33243489133, N/A, RNAV, INT

ZK, N/A, 2.91470132478, -1.24915771062, N/A, RNAV, INT

ZL, N/A, 2.91470132478, -1.16588052991, N/A, RNAV, INT

ZM, N/A, 2.91470132478, -1.0826033492, N/A, RNAV, INT

ZN, N/A, 2.91470132478, -0.999326168497, N/A, RNAV, INT

