Channel	Reply_Freq (KHz)
001X	96200
001Y	108800
002X	96300
002Y	108900
003X	96400
003Y	109000
004X	96500
004Y	109100
005X	96600
005Y	109200
006X	96700
006Y	109300
007X	96800
007Y	109400
008X	96900
008Y	109500
009X	97000
009Y	109600
010X	97100
010Y	109700
011X	97200
011Y	109800
012X	97300
012Y	109900
013X	97400
013Y	110000
014X	97500
014Y	110100
015X	97600
015Y	110200
016X	97700
016Y	110300
017X	10800
017Y	10805
018X	10810
018Y	10815
019X	10820
019Y	10825
020X	10830
020Y	10835
021X	10840
021Y	10845
022X	10850
022Y	10855
023X	10860
023Y	10865
024X	10870
024Y	10875
025X	10880
025Y	10885
026X	10890
026Y	10895
027X	10900
027Y	10905
028X	10910
028Y	10915
029X	10920
029Y	10925
030X	10930
030Y	10935
031X	10940
031Y	10945
032X	10950
032Y	10955
033X	10960
033Y	10965
034X	10970
034Y	10975
035X	10980
035Y	10985
036X	10990
036Y	10995
037X	11000
037Y	11005
038X	11010
038Y	11015
039X	11020
039Y	11025
040X	11030
040Y	11035
041X	11040
041Y	11045
042X	11050
042Y	11055
043X	11060
043Y	11065
044X	11070
044Y	11075
045X	11080
045Y	11085
046X	11090
046Y	11095
047X	11100
047Y	11105
048X	11110
048Y	11115
049X	11120
049Y	11125
050X	11130
050Y	11135
051X	11140
051Y	11145
052X	11150
052Y	11155
053X	11160
053Y	11165
054X	11170
054Y	11175
055X	11180
055Y	11185
056X	11190
056Y	11195
057X	11200
057Y	11205
058X	11210
058Y	11215
059X	11220
059Y	11225
060X	102100
060Y	114700
061X	102200
061Y	114800
062X	102300
062Y	114900
063X	102400
063Y	115000
064X	115100
064Y	102500
065X	115200
065Y	102600
066X	115300
066Y	102700
067X	115400
067Y	102800
068X	115500
068Y	102900
069X	115600
069Y	103000
070X	11230
070Y	11235
071X	11240
071Y	11245
072X	11250
072Y	11255
073X	11260
073Y	11265
074X	11270
074Y	11275
075X	11280
075Y	11285
076X	11290
076Y	11295
077X	11300
077Y	11305
078X	11310
078Y	11315
079X	11320
079Y	11325
080X	11330
080Y	11335
081X	11340
081Y	11345
082X	11350
082Y	11355
083X	11360
083Y	11365
084X	11370
084Y	11375
085X	11380
085Y	11385
086X	11390
086Y	11395
087X	11400
087Y	11405
088X	11410
088Y	11415
089X	11420
089Y	11425
090X	11430
090Y	11435
091X	11440
091Y	11445
092X	11450
092Y	11455
093X	11460
093Y	11465
094X	11470
094Y	11475
095X	11480
095Y	11485
096X	11490
096Y	11495
097X	11500
097Y	11505
098X	11510
098Y	11515
099X	11520
099Y	11525
100X	11530
100Y	11535
101X	11540
101Y	11545
102X	11550
102Y	11555
103X	11560
103Y	11565
104X	11570
104Y	11575
105X	11580
105Y	11585
106X	11590
106Y	11595
107X	11600
107Y	11605
108X	11610
108Y	11615
109X	11620
109Y	11625
110X	11630
110Y	11635
111X	11640
111Y	11645
112X	11650
112Y	11655
113X	11660
113Y	11665
114X	11670
114Y	11675
115X	11680
115Y	11685
116X	11690
116Y	11695
117X	11700
117Y	11705
118X	11710
118Y	11715
119X	11720
119Y	11725
120X	11730
120Y	11735
121X	11740
121Y	11745
122X	11750
122Y	11755
123X	11760
123Y	11765
124X	11770
124Y	11775
125X	11780
125Y	11785
126X	11790
126Y	11795
