phase,param,opt,min,max,model,pm
TO,to_v_lof,84.1,70.8,97.4,norm,84.1|9.2
TO,to_d_tof,1.68,1.08,2.28,norm,1.68|0.36
TO,to_acc_tof,1.88,1.43,2.33,norm,1.88|0.27
IC,ic_va_avg,81,70,92,norm,81|7
IC,ic_vh_avg,12.41,8.90,15.94,norm,12.42|2.14
CL,cl_d_range,239,173,407,gamma,5|139|21
CL,cl_v_cas_const,153,136,170,norm,153|11
CL,cl_v_mach_const,0.77,0.68,0.86,norm,0.77|0.06
CL,cl_h_cas_const,4.8,2.2,7.4,norm,4.8|1.3
CL,cl_h_mach_const,7.6,5.5,9.8,norm,7.6|1.1
CL,cl_vh_avg_pre_cas,10.31,7.71,12.93,norm,10.32|1.58
CL,cl_vh_avg_cas_const,8.60,5.56,11.65,norm,8.60|1.85
CL,cl_vh_avg_mach_const,5.54,3.81,7.27,norm,5.54|1.05
CR,cr_d_range,928,472,3840,gamma,2|391|513
CR,cr_v_cas_mean,134,117,151,norm,134|11
CR,cr_v_cas_max,145,126,164,norm,145|13
CR,cr_v_mach_mean,0.78,0.71,0.86,norm,0.78|0.06
CR,cr_v_mach_max,0.83,0.75,0.92,norm,0.83|0.06
CR,cr_h_mean,10.9,10.0,11.8,norm,10.9|0.6
CR,cr_h_max,11.1,10.2,11.9,norm,11.1|0.5
DE,de_d_range,231,181,431,gamma,3|166|30
DE,de_v_mach_const,0.76,0.67,0.86,norm,0.76|0.07
DE,de_v_cas_const,150,132,168,norm,150|12
DE,de_h_mach_const,9.3,6.5,10.8,beta,5.1|2.5|3.4|8.2
DE,de_h_cas_const,5.3,2.5,8.2,norm,5.3|1.7
DE,de_vh_avg_mach_const,-6.55,-13.73,-2.30,beta,4.26|2.57|-20.12|20.12
DE,de_vh_avg_cas_const,-9.74,-14.36,-5.10,norm,-9.73|2.81
DE,de_vh_avg_after_cas,-5.89,-7.83,-3.94,norm,-5.89|1.18
FA,fa_va_avg,69,59,80,norm,69|7
FA,fa_vh_avg,-3.54,-4.17,-2.90,norm,-3.54|0.39
LD,ld_v_app,66.9,56.1,77.7,norm,66.9|7.5
LD,ld_d_brk,1.18,0.63,3.31,gamma,2.82|0.26|0.51
LD,ld_acc_brk,-1.18,-1.91,-0.44,norm,-1.18|0.45
