phase,param,opt,min,max,model,pm
TO,to_v_lof,88.8,71.9,105.7,norm,88.8|11.8
TO,to_d_tof,1.78,0.99,2.57,norm,1.78|0.48
TO,to_acc_tof,1.85,1.35,2.36,norm,1.85|0.31
IC,ic_va_avg,86,69,103,norm,86|11
IC,ic_vh_avg,12.93,8.25,17.63,norm,12.94|2.85
CL,cl_d_range,223,171,366,gamma,5|146|18
CL,cl_v_cas_const,159,139,179,norm,159|13
CL,cl_v_mach_const,0.79,0.69,0.90,norm,0.79|0.07
CL,cl_h_cas_const,5.3,3.0,7.6,norm,5.3|1.2
CL,cl_h_mach_const,7.8,6.0,9.6,norm,7.8|0.9
CL,cl_vh_avg_pre_cas,10.43,7.95,12.92,norm,10.44|1.51
CL,cl_vh_avg_cas_const,8.90,5.91,11.91,norm,8.91|1.82
CL,cl_vh_avg_mach_const,6.37,4.09,8.66,norm,6.38|1.39
CR,cr_d_range,1012,531,6571,beta,1|2|483|7549
CR,cr_v_cas_mean,134,116,152,norm,134|12
CR,cr_v_cas_max,149,126,171,norm,149|15
CR,cr_v_mach_mean,0.80,0.71,0.88,norm,0.80|0.06
CR,cr_v_mach_max,0.86,0.77,0.96,norm,0.86|0.07
CR,cr_h_mean,11.2,10.2,12.1,beta,10.2|6.4|8.1|5.0
CR,cr_h_max,11.5,10.5,12.3,beta,7.9|5.3|8.8|4.3
DE,de_d_range,252,176,480,gamma,4|144|31
DE,de_v_mach_const,0.77,0.66,0.88,norm,0.77|0.08
DE,de_v_cas_const,150,130,171,norm,150|14
DE,de_h_mach_const,9.4,6.6,10.9,beta,8.8|3.5|1.5|10.4
DE,de_h_cas_const,5.7,2.8,8.6,norm,5.7|1.8
DE,de_vh_avg_mach_const,-6.21,-12.79,-2.60,beta,5.33|2.78|-20.24|19.78
DE,de_vh_avg_cas_const,-9.32,-14.18,-4.44,norm,-9.31|2.96
DE,de_vh_avg_after_cas,-5.89,-7.89,-3.89,norm,-5.89|1.21
FA,fa_va_avg,68,53,84,norm,68|10
FA,fa_vh_avg,-3.42,-4.20,-2.63,norm,-3.41|0.48
LD,ld_v_app,66.9,51.2,79.8,beta,4.8|3.8|32.0|60.5
LD,ld_d_brk,1.22,0.68,3.44,gamma,2.66|0.33|0.54
LD,ld_acc_brk,-0.96,-1.84,-0.45,beta,7.83|3.71|-3.27|3.22
