phase,param,opt,min,max,model,pm
TO,to_v_lof,95.6,77.8,113.5,norm,95.7|12.4
TO,to_d_tof,2.51,1.35,3.68,norm,2.52|0.71
TO,to_acc_tof,1.57,1.13,2.02,norm,1.57|0.27
IC,ic_va_avg,91,75,106,norm,91|10
IC,ic_vh_avg,10.50,6.40,14.62,norm,10.51|2.50
CL,cl_d_range,284,169,400,norm,284|49
CL,cl_v_cas_const,166,145,187,norm,166|14
CL,cl_v_mach_const,0.84,0.74,0.94,norm,0.84|0.07
CL,cl_h_cas_const,5.5,3.0,8.1,norm,5.5|1.3
CL,cl_h_mach_const,8.0,6.0,10.1,norm,8.0|1.0
CL,cl_vh_avg_pre_cas,9.22,7.20,12.19,gamma,24.55|1.97|0.31
CL,cl_vh_avg_cas_const,8.36,5.31,11.43,norm,8.37|1.86
CL,cl_vh_avg_mach_const,5.99,3.89,8.10,norm,5.99|1.28
CR,cr_d_range,5779,-2103,13685,norm,5791|3393
CR,cr_v_cas_mean,140,125,156,norm,140|10
CR,cr_v_cas_max,159,135,183,norm,159|16
CR,cr_v_mach_mean,0.85,0.78,0.92,norm,0.85|0.05
CR,cr_v_mach_max,0.94,0.85,1.04,norm,0.94|0.07
CR,cr_h_mean,11.6,10.7,12.4,norm,11.6|0.5
CR,cr_h_max,12.0,11.3,12.7,norm,12.0|0.4
DE,de_d_range,298,217,499,gamma,6|171|24
DE,de_v_mach_const,0.83,0.72,0.94,norm,0.83|0.08
DE,de_v_cas_const,156,134,178,norm,156|15
DE,de_h_mach_const,10.2,7.4,11.6,beta,6.8|3.0|3.3|9.3
DE,de_h_cas_const,6.2,3.1,9.3,norm,6.2|1.9
DE,de_vh_avg_mach_const,-7.56,-12.96,-3.27,beta,3.80|3.03|-17.18|16.59
DE,de_vh_avg_cas_const,-8.92,-13.06,-4.77,norm,-8.91|2.52
DE,de_vh_avg_after_cas,-5.88,-7.78,-3.96,norm,-5.87|1.16
FA,fa_va_avg,76,63,89,norm,76|8
FA,fa_vh_avg,-4.10,-4.76,-3.14,gamma,25.80|-6.53|0.10
LD,ld_v_app,72.6,58.3,87.0,norm,72.7|10.0
LD,ld_d_brk,2.50,0.69,4.32,norm,2.51|1.11
LD,ld_acc_brk,-1.09,-1.72,-0.46,norm,-1.09|0.38
