mdl,cd0_clean,k_clean,e_clean,cd0_to,k_to,e_to,cd0_ld,k_ld,e_ld,delta_cd_gear
A319,0.019,0.039,0.793,0.021,0.037,0.845,0.025,0.035,0.897,0.017
A320,0.018,0.039,0.798,0.020,0.036,0.850,0.024,0.034,0.902,0.017
A321,0.026,0.043,0.746,0.028,0.040,0.798,0.034,0.036,0.876,0.019
A332,0.029,0.044,0.728,0.030,0.041,0.780,0.035,0.037,0.858,0.014
A333,0.030,0.044,0.719,0.032,0.041,0.771,0.036,0.037,0.849,0.014
A359,0.031,0.046,0.725,0.032,0.043,0.777,0.037,0.039,0.855,0.013
A388,0.028,0.054,0.781,0.030,0.051,0.833,0.033,0.048,0.885,0.012
B734,0.034,0.049,0.705,0.036,0.046,0.757,0.038,0.043,0.809,0.021
B737,0.029,0.046,0.736,0.030,0.043,0.788,0.035,0.039,0.866,0.016
B738,0.023,0.044,0.775,0.024,0.041,0.827,0.029,0.037,0.905,0.017
B739,0.024,0.044,0.769,0.025,0.041,0.821,0.030,0.038,0.899,0.018
B744,0.028,0.052,0.774,0.030,0.049,0.826,0.034,0.046,0.878,0.015
B748,0.027,0.049,0.771,0.029,0.046,0.823,0.032,0.043,0.875,0.015
B772,0.034,0.051,0.723,0.036,0.047,0.775,0.041,0.043,0.853,0.014
B77W,0.037,0.048,0.687,0.039,0.045,0.739,0.044,0.041,0.817,0.016
B788,0.027,0.045,0.748,0.029,0.042,0.800,0.031,0.039,0.852,0.013
B789,0.029,0.045,0.737,0.030,0.042,0.789,0.033,0.040,0.841,0.014
E75L,0.019,0.043,0.803,0.020,0.040,0.855,0.025,0.037,0.933,0.017
E190,0.019,0.044,0.813,0.020,0.041,0.865,0.025,0.038,0.943,0.016
E195,0.028,0.048,0.752,0.029,0.045,0.804,0.034,0.041,0.882,0.017
F16,0.0175,0.109,0.908,0.018,0.109,0.908,0.018,0.109,0.908,0.000
