uid,name,type,maker,bpr,pr,thr,ff_to,ff_co,ff_app,ff_idl,fuel_lto
1AS001,TFE731-2-2B,TF,Allied Signal,2.64,13.9,15600,0.205,0.173,0.067,0.024,85
1AS002,TFE731-3,TF,Allied Signal,2.64,14.3,16500,0.225,0.186,0.072,0.026,92
4AL003,AE3007A,MTF,Allison Engine Company,5.23,18.08,33730,0.377,0.315,0.117,0.049,162
6AL007,AE3007A1,MTF,Rolls-Royce Corporation,4.77,17.97,34910,0.3826,0.318,0.113,0.0461,157
6AL010,AE3007A1/1,MTF,Rolls-Royce Corporation,4.77,17.9,34740,0.3805,0.3163,0.1125,0.0459,156
6AL013,AE3007A1/3,MTF,Rolls-Royce Corporation,4.81,17.22,33050,0.3589,0.2999,0.1077,0.0449,151
6AL020,AE3007A1E,MTF,Rolls-Royce Corporation,4.72,19.06,37160,0.4122,0.3425,0.12,0.0475,165
6AL016,AE3007A1P,MTF,Rolls-Royce Corporation,4.77,17.9,34740,0.3806,0.3163,0.1126,0.046,157
10AL026,AE3007A2,MTF,Rolls-Royce Corporation,4.79,20.2,42230,0.466,0.388,0.138,0.055,189
6AL019,AE3007A3,MTF,Rolls-Royce Corporation,4.72,17.2,33000,0.3583,0.2995,0.1076,0.0448,150
8AL025,AE3007C,MTF,Rolls-Royce Corporation,5.2,15.8,29620,0.301,0.2527,0.0943,0.0377,127
6AL024,AE3007C1,MTF,Rolls-Royce Corporation,5.1,16.58,31460,0.3222,0.2689,0.0991,0.0418,138
13AL027,AE3007C2,MTF,Rolls-Royce Corporation,4.99,17.44,32729,0.3263,0.2714,0.0985,0.0472,147
1AA001,D-30,MTF,AO 'Aviadgatel',0.85,18.4,66640,1.15,0.975,0.35,0.13,464
1AA002,D-30KP-2,MTF,AO 'Aviadgatel',2.2,19.45,117600,1.67,1.42,0.49,0.21,703
1AA003,D-30KU,MTF,AO 'Aviadgatel',2.35,17.4,112700,1.52,1.3,0.5,0.215,691
1AA004,D-30KU-154,MTF,AO 'Aviadgatel',2.3,17,107500,1.42,1.1,0.42,0.207,629
13AA006,PS-90A,MTF,Aviadvigatel,4.48,30.8,154600,1.532,1.279,0.511,0.1675,617.112
13AA007,PS-90A1,MTF,Aviadvigatel,4.36,33.79,169700,1.654,1.354,0.533,0.174,647.556
13AA008,PS-90A2,MTF,Aviadvigatel,4.32,31.23,156950,1.38,1.117,0.491,0.171,590
4BR008,BR700-710A1-10,MTF,BMW Rolls-Royce GmbH,4.2,24.23,65610,0.713,0.594,0.214,0.089,299
4BR009,BR700-710A2-20,MTF,BMW Rolls-Royce GmbH,4.19,24.16,65610,0.714,0.595,0.214,0.089,299
6BR010,BR700-710C4-11,MTF,Rolls-Royce,4.05,24.95,68770,0.747,0.617,0.215,0.083,294
4BR005,BR700-715A1-30,MTF,BMW Rolls-Royce GmbH,4.68,28.75,83230,0.831,0.686,0.24,0.1,339
4BR006,BR700-715B1-30,MTF,BMW Rolls-Royce GmbH,4.6,30.58,89680,0.91,0.75,0.257,0.103,360
4BR007,BR700-715C1-30,MTF,BMW Rolls-Royce GmbH,4.54,32.15,95330,0.984,0.805,0.272,0.105,377
11BR011,BR-700-725A1-12,MTF,Rolls-Royce,4.35,26.16,75700,0.789,0.65,0.221,0.085,304.578
1CM001,CFM56-2A,TF,CFMI,6,25.2,106760,1.114,0.911,0.318,0.13,446
1CM002,CFM56-2B-1,TF,CFMI,6,23.5,97860,0.985,0.819,0.311,0.128,424
1CM003,CFM56-2-C5,TF,CFMI,6,23.5,97860,0.985,0.819,0.311,0.128,424
1CM004,CFM56-3-B1,TF,CFMI,5.1,22.44,89410,0.946,0.792,0.29,0.114,392
1CM005,CFM56-3B-2,TF,CFMI,5.1,24.1,98300,1.056,0.878,0.314,0.119,421
1CM006,CFM56-3C-1,TF,CFMI,5.1,21.3,82290,0.872,0.732,0.273,0.111,372
1CM008,CFM56-5-A1,TF,CFMI,6,26.6,111200,1.051,0.862,0.291,0.1011,385
1CM009,CFM56-5A3,TF,CFMI,6,27.9,117880,1.131,0.925,0.307,0.1044,406
4CM035,CFM56-5A4,TF,CFMI,6,23.8,97890,0.897,0.74,0.261,0.095,346
4CM036,CFM56-5A5,TF,CFMI,6,25.1,104530,0.972,0.799,0.276,0.098,365
2CM012,CFM56-5B1,TF,CFMI,5.7,30.2,133450,1.359,1.113,0.364,0.117,474
2CM016,CFM56-5B1/2,TF,CFMI,5.7,30.2,133450,1.345,1.104,0.369,0.129,492
3CM020,CFM56-5B1/2P,TF,CFM International,5.7,30.5,133500,1.32,1.07,0.37,0.12,473
8CM052,CFM56-5B1/3,TF,CFM International,5.5,30.2,133400,1.318,1.063,0.347,0.109,448
3CM023,CFM56-5B1/P,TF,GE,5.7,30.47,133450,1.295,1.058,0.345,0.11,448
2CM013,CFM56-5B2,TF,CFMI,5.6,31.3,137900,1.426,1.158,0.376,0.119,489
2CM017,CFM56-5B2/2,TF,CFMI,5.7,31.2,137900,1.406,1.132,0.377,0.131,503
4CM037,CFM56-5B2/2P,TF,CFM International,5.6,31.6,137900,1.39,1.11,0.39,0.13,501
8CM053,CFM56-5B2/3,TF,CFM International,5.5,31.3,137900,1.385,1.107,0.358,0.111,463
3CM024,CFM56-5B2/P,TF,GE,5.6,31.57,137900,1.361,1.099,0.356,0.113,464
4CM038,CFM56-5B3/2P,TF,CFM International,5.6,32.8,142400,1.47,1.15,0.4,0.13,512
8CM054,CFM56-5B3/3,TF,CFM International,5.4,32.6,142300,1.462,1.153,0.369,0.113,478
3CM025,CFM56-5B3/P,TF,GE,5.6,32.78,142350,1.43,1.141,0.366,0.115,478
2CM014,CFM56-5B4,TF,CFMI,5.9,27.1,117900,1.166,0.961,0.326,0.107,421
2CM018,CFM56-5B4/2,TF,CFMI,5.7,27.1,117900,1.18,0.975,0.335,0.121,447
