phase,param,opt,min,max,model,pm
TO,to_v_lof,96.8,80.8,112.9,norm,96.8|11.2
TO,to_d_tof,2.24,1.41,3.07,norm,2.24|0.50
TO,to_acc_tof,1.83,1.38,2.27,norm,1.83|0.27
IC,ic_va_avg,97,84,111,norm,97|9
IC,ic_vh_avg,12.93,9.59,16.29,norm,12.94|2.04
CL,cl_d_range,219,173,334,gamma,6|147|14
CL,cl_v_cas_const,169,153,185,norm,169|11
CL,cl_v_mach_const,0.84,0.75,0.93,norm,0.84|0.06
CL,cl_h_cas_const,5.6,2.8,8.0,beta,4.8|4.1|0.8|8.8
CL,cl_h_mach_const,7.9,6.2,9.6,norm,7.9|0.9
CL,cl_vh_avg_pre_cas,9.44,7.24,11.65,norm,9.45|1.34
CL,cl_vh_avg_cas_const,8.79,5.47,12.12,norm,8.79|2.02
CL,cl_vh_avg_mach_const,6.46,3.53,9.42,norm,6.47|1.79
CR,cr_d_range,6904,-1005,14839,norm,6916|3405
CR,cr_v_cas_mean,152,138,165,norm,152|9
CR,cr_v_cas_max,173,151,195,norm,173|15
CR,cr_v_mach_mean,0.85,0.79,0.91,norm,0.85|0.04
CR,cr_v_mach_max,0.94,0.86,1.02,norm,0.94|0.06
CR,cr_h_mean,10.4,9.7,11.4,gamma,20.8|8.2|0.1
CR,cr_h_max,11.0,10.3,11.7,norm,11.0|0.4
DE,de_d_range,257,198,459,gamma,3|177|29
DE,de_v_mach_const,0.81,0.70,0.91,norm,0.81|0.07
DE,de_v_cas_const,156,136,175,norm,156|13
DE,de_h_mach_const,9.6,6.8,10.8,beta,5.7|2.4|3.2|8.3
DE,de_h_cas_const,6.1,3.4,8.8,norm,6.1|1.6
DE,de_vh_avg_mach_const,-6.84,-12.89,-2.61,beta,3.28|2.44|-16.91|16.42
DE,de_vh_avg_cas_const,-8.76,-13.06,-4.45,norm,-8.76|2.62
DE,de_vh_avg_after_cas,-6.05,-7.86,-4.22,norm,-6.04|1.11
FA,fa_va_avg,77,65,88,norm,77|8
FA,fa_vh_avg,-4.00,-4.51,-3.23,gamma,21.41|-5.74|0.08
LD,ld_v_app,75.5,64.1,87.0,norm,75.5|8.0
LD,ld_d_brk,1.54,0.86,3.65,gamma,3.71|0.31|0.46
LD,ld_acc_brk,-1.28,-1.95,-0.61,norm,-1.28|0.41
