phase,param,opt,min,max,model,pm
TO,to_v_lof,89.9,77.7,102.2,norm,90.0|8.5
TO,to_d_tof,1.89,1.26,2.98,gamma,12.87|0.14|0.15
TO,to_acc_tof,1.72,1.31,2.14,norm,1.73|0.25
IC,ic_va_avg,87,79,94,norm,87|5
IC,ic_vz_avg,12.29,8.41,16.18,norm,12.30|2.36
CL,cl_d_range,311,158,463,norm,311|59
CL,cl_v_cas_const,157,146,168,norm,157|6
CL,cl_v_mach_const,0.79,0.73,0.86,norm,0.79|0.04
CL,cl_h_cas_const,5.0,2.8,7.3,norm,5.0|1.1
CL,cl_h_mach_const,9.8,7.8,11.7,norm,9.8|1.0
CL,cl_vz_avg_pre_cas,9.17,6.79,11.57,norm,9.18|1.45
CL,cl_vz_avg_cas_const,6.19,4.12,9.55,gamma,15.98|-0.05|0.42
CL,cl_vz_avg_mach_const,4.28,2.71,7.66,gamma,7.00|0.81|0.58
CR,cr_d_range,560,571,8414,beta,0|1|553|8450
CR,cr_v_cas_mean,134,123,144,norm,134|6
CR,cr_v_cas_max,140,128,162,beta,2|6|121|75
CR,cr_v_mach_mean,0.81,0.79,0.84,norm,0.81|0.01
CR,cr_v_mach_max,0.84,0.81,0.87,gamma,25.03|0.74|0.00
CR,cr_h_mean,11.5,10.5,12.5,norm,11.5|0.6
CR,cr_h_max,12.4,10.6,12.5,beta,5.1|1.2|8.5|4.0
DE,de_d_range,286,214,522,gamma,4|191|28
DE,de_v_mach_const,0.80,0.74,0.86,norm,0.80|0.03
DE,de_v_cas_const,151,137,166,norm,152|8
DE,de_h_mach_const,9.7,7.9,11.6,norm,9.7|1.1
DE,de_h_cas_const,6.3,3.2,9.1,beta,4.1|3.6|0.6|10.5
DE,de_vz_avg_mach_const,-6.32,-12.18,-2.52,beta,5.21|3.17|-18.57|18.57
DE,de_vz_avg_cas_const,-8.72,-13.03,-4.39,norm,-8.71|2.63
DE,de_vz_avg_after_cas,-5.74,-7.45,-4.03,norm,-5.74|1.04
FA,fa_va_avg,73,69,78,norm,73|3
FA,fa_vz_avg,-3.65,-4.25,-3.04,norm,-3.65|0.37
LD,ld_v_app,71.5,65.5,77.6,norm,71.5|4.2
LD,ld_d_brk,1.51,0.81,3.76,gamma,3.53|0.26|0.49
LD,ld_acc_brk,-1.20,-1.87,-0.53,norm,-1.20|0.41
