phase,param,opt,min,max,model,pm
TO,to_v_lof,92.4,79.3,105.5,norm,92.4|9.1
TO,to_d_tof,2.29,1.27,3.31,norm,2.29|0.62
TO,to_acc_tof,1.67,1.21,2.13,norm,1.67|0.28
IC,ic_va_avg,91,82,101,norm,91|6
IC,ic_vz_avg,9.32,6.32,14.11,gamma,17.23|-0.00|0.57
CL,cl_d_range,231,179,392,gamma,4|160|18
CL,cl_v_cas_const,171,159,182,norm,171|6
CL,cl_v_mach_const,0.84,0.81,0.88,norm,0.84|0.02
CL,cl_h_cas_const,5.6,3.9,7.4,norm,5.6|0.9
CL,cl_h_mach_const,9.7,8.0,11.4,norm,9.7|0.9
CL,cl_vz_avg_pre_cas,9.07,7.31,13.09,gamma,6.25|5.31|0.72
CL,cl_vz_avg_cas_const,8.18,5.07,11.30,norm,8.18|1.90
CL,cl_vz_avg_mach_const,5.39,2.71,8.10,norm,5.40|1.64
CR,cr_d_range,5230,-1657,12137,norm,5239|2677
CR,cr_v_cas_mean,147,135,158,norm,147|7
CR,cr_v_cas_max,157,140,175,norm,157|10
CR,cr_v_mach_mean,0.84,0.82,0.87,norm,0.84|0.01
CR,cr_v_mach_max,0.87,0.84,0.93,gamma,22.25|0.75|0.01
CR,cr_h_mean,10.8,9.8,11.9,norm,10.8|0.6
CR,cr_h_max,11.3,10.1,12.3,beta,8.6|7.1|8.2|5.5
DE,de_d_range,267,193,523,gamma,3|172|32
DE,de_v_mach_const,0.81,0.75,0.88,norm,0.81|0.04
DE,de_v_cas_const,153,139,166,norm,153|8
DE,de_h_mach_const,9.7,7.9,11.4,norm,9.7|1.1
DE,de_h_cas_const,6.5,4.0,9.1,norm,6.5|1.5
DE,de_vz_avg_mach_const,-5.45,-11.96,-2.19,beta,4.64|2.38|-18.39|17.87
DE,de_vz_avg_cas_const,-8.72,-13.61,-3.81,norm,-8.71|2.98
DE,de_vz_avg_after_cas,-6.25,-8.03,-4.47,norm,-6.25|1.08
FA,fa_va_avg,79,72,85,norm,79|4
FA,fa_vz_avg,-3.89,-4.70,-3.09,norm,-3.89|0.49
LD,ld_v_app,77.9,71.0,85.0,norm,78.0|4.9
LD,ld_d_brk,1.67,0.92,4.04,gamma,3.56|0.34|0.52
LD,ld_acc_brk,-1.20,-1.97,-0.59,beta,6.26|4.55|-2.95|2.92
