phase,param,opt,min,max,model,pm
TO,to_v_lof,96.4,83.9,109.0,norm,96.5|8.7
TO,to_d_tof,2.21,1.38,3.04,norm,2.21|0.50
TO,to_acc_tof,1.89,1.45,2.33,norm,1.89|0.27
IC,ic_va_avg,98,88,106,beta,3|3|80|33
IC,ic_vz_avg,13.02,9.69,16.36,norm,13.03|2.03
CL,cl_d_range,261,154,369,norm,262|41
CL,cl_v_cas_const,166,158,173,norm,166|4
CL,cl_v_mach_const,0.83,0.78,0.88,norm,0.83|0.03
CL,cl_h_cas_const,5.7,3.4,8.0,norm,5.7|1.2
CL,cl_h_mach_const,9.5,7.5,11.5,norm,9.5|1.0
CL,cl_vz_avg_pre_cas,9.86,8.18,14.19,gamma,4.91|6.56|0.84
CL,cl_vz_avg_cas_const,7.22,3.11,11.35,norm,7.23|2.51
CL,cl_vz_avg_mach_const,4.48,1.69,10.26,beta,1.86|3.03|0.59|13.14
CR,cr_d_range,2831,675,14048,beta,1|1|594|14118
CR,cr_v_cas_mean,149,140,158,norm,149|5
CR,cr_v_cas_max,160,144,176,norm,160|9
CR,cr_v_mach_mean,0.84,0.82,0.86,norm,0.84|0.01
CR,cr_v_mach_max,0.86,0.84,0.91,gamma,4.92|0.82|0.01
CR,cr_h_mean,10.4,9.8,11.5,gamma,13.1|8.7|0.1
CR,cr_h_max,11.1,10.2,11.7,beta,5.5|3.7|9.2|3.0
DE,de_d_range,260,197,488,gamma,3|181|29
DE,de_v_mach_const,0.82,0.76,0.87,norm,0.82|0.03
DE,de_v_cas_const,156,142,171,norm,156|8
DE,de_h_mach_const,9.5,8.0,11.0,norm,9.5|0.9
DE,de_h_cas_const,6.6,4.1,9.1,norm,6.6|1.5
DE,de_vz_avg_mach_const,-6.94,-11.78,-2.08,norm,-6.93|2.95
DE,de_vz_avg_cas_const,-8.68,-13.22,-4.12,norm,-8.67|2.77
DE,de_vz_avg_after_cas,-6.27,-7.92,-4.62,norm,-6.27|1.00
FA,fa_va_avg,78,73,83,norm,78|3
FA,fa_vz_avg,-4.03,-4.49,-3.27,gamma,15.93|-5.43|0.09
LD,ld_v_app,76.9,70.8,83.1,norm,76.9|4.3
LD,ld_d_brk,1.49,0.84,3.52,gamma,3.57|0.34|0.45
LD,ld_acc_brk,-1.33,-2.00,-0.66,norm,-1.33|0.41
