phase,param,opt,min,max,model,pm
TO,to_v_lof,88.1,78.6,97.6,norm,88.1|6.6
TO,to_d_tof,1.80,1.18,2.43,norm,1.81|0.38
TO,to_acc_tof,1.83,1.37,2.28,norm,1.83|0.28
IC,ic_va_avg,78,65,91,norm,78|8
IC,ic_vz_avg,11.19,5.76,16.64,norm,11.20|3.31
CL,cl_d_range,225,165,388,gamma,5|140|18
CL,cl_v_cas_const,142,131,158,gamma,20|107|1
CL,cl_v_mach_const,0.75,0.69,0.82,norm,0.75|0.04
CL,cl_h_cas_const,4.1,2.6,7.4,gamma,7.8|1.1|0.4
CL,cl_h_mach_const,10.1,7.6,11.5,beta,12.6|4.3|2.5|9.8
CL,cl_vz_avg_pre_cas,11.22,8.15,14.30,norm,11.22|1.87
CL,cl_vz_avg_cas_const,7.99,5.25,10.73,norm,7.99|1.67
CL,cl_vz_avg_mach_const,4.35,2.26,6.45,norm,4.35|1.27
CR,cr_d_range,690,460,2710,gamma,1|437|324
CR,cr_v_cas_mean,131,120,141,norm,131|6
CR,cr_v_cas_max,133,125,153,gamma,5|117|3
CR,cr_v_mach_mean,0.77,0.74,0.81,norm,0.77|0.02
CR,cr_v_mach_max,0.80,0.76,0.85,norm,0.80|0.03
CR,cr_h_mean,11.1,10.0,12.1,norm,11.1|0.6
CR,cr_h_max,11.2,10.2,12.2,norm,11.2|0.6
DE,de_d_range,255,169,443,beta,2|5|156|379
DE,de_v_mach_const,0.77,0.70,0.83,norm,0.77|0.04
DE,de_v_cas_const,146,134,159,norm,146|7
DE,de_h_mach_const,9.1,7.4,10.8,norm,9.1|1.0
DE,de_h_cas_const,5.4,2.7,8.2,norm,5.4|1.7
DE,de_vz_avg_mach_const,-5.90,-11.66,-1.69,beta,9.15|5.35|-22.01|24.73
DE,de_vz_avg_cas_const,-8.77,-13.14,-4.39,norm,-8.76|2.66
DE,de_vz_avg_after_cas,-5.91,-7.97,-3.84,norm,-5.90|1.25
FA,fa_va_avg,70,64,76,norm,70|4
FA,fa_vz_avg,-3.56,-4.43,-2.68,norm,-3.55|0.53
LD,ld_v_app,66.9,56.3,77.5,norm,66.9|7.4
LD,ld_d_brk,1.84,0.73,3.73,beta,2.16|3.24|0.23|4.74
LD,ld_acc_brk,-0.94,-1.92,-0.39,beta,5.77|2.95|-3.12|3.07
