phase,param,opt,min,max,model,pm
TO,to_v_lof,88.1,78.6,97.6,norm,
TO,to_d_tof,1.80,1.18,2.43,norm,
TO,to_acc_tof,1.83,1.37,2.28,norm,
IC,ic_va_avg,78,65,91,norm,
IC,ic_vz_avg,11.19,5.76,16.64,norm,
CL,cl_d_range,225,165,388,norm,
CL,cl_v_cas_const,142,131,158,norm,
CL,cl_v_mach_const,0.75,0.69,0.82,norm,
CL,cl_h_cas_const,4.1,2.6,7.4,norm,
CL,cl_h_mach_const,10.1,7.6,11.5,norm,
CL,cl_vz_avg_pre_cas,11.22,8.15,14.30,norm,
CL,cl_vz_avg_cas_const,7.99,5.25,10.73,norm,
CL,cl_vz_avg_mach_const,4.35,2.26,6.45,norm,
CR,cr_d_range,900,500,2000,norm,
CR,cr_v_cas_mean,600,600,600,norm,
CR,cr_v_cas_max,800,800,800,norm,
CR,cr_v_mach_mean,1,1,1,norm,
CR,cr_v_mach_max,2,2,2,norm,
CR,cr_h_mean,10,10,10,norm,
CR,cr_h_max,15,15,15,norm,
DE,de_d_range,255,169,443,norm,
DE,de_v_mach_const,0.77,0.70,0.83,norm,
DE,de_v_cas_const,146,134,159,norm,
DE,de_h_mach_const,9.1,7.4,10.8,norm,
DE,de_h_cas_const,5.4,2.7,8.2,norm,
DE,de_vz_avg_mach_const,-5.90,-11.66,-1.69,norm,
DE,de_vz_avg_cas_const,-8.77,-13.14,-4.39,norm,
DE,de_vz_avg_after_cas,-5.91,-7.97,-3.84,norm,
FA,fa_va_avg,70,64,76,norm,
FA,fa_vz_avg,-3.56,-4.43,-2.68,norm,
LD,ld_v_app,66.9,56.3,77.5,norm,
LD,ld_d_brk,1.84,0.73,3.73,norm,
LD,ld_acc_brk,-0.94,-1.92,-0.39,norm,
