A10=E190	# FAIRCHILD THUNDERBOLT II
A124=B744	# ANTONOV AN-124 RUSLAN
A140=E190	# ANTONOV AN-140
A148=E190	# ANTONOV AN-148-100B
A306=A319	# AIRBUS A300B4-600
A30B=A319	# AIRBUS A300B4-200
A310=A319	# AIRBUS A310
A318=A319	# AIRBUS A318
A319=A319	# AIRBUS A319
A320=A320	# AIRBUS A320
A321=A321	# AIRBUS A321
A332=A332	# AIRBUS A330-200
A333=A333	# AIRBUS A330-300
A342=B77W	# AIRBUS A340-200
A343=A320	# AIRBUS A340-300
A345=A320	# AIRBUS A340-500
A346=A320	# AIRBUS A340-600
A359=B77W	# AIRBUS A350-900 WXB
A388=A388	# AIRBUS A380-800
A3ST=B744	# AIRBUS A-300ST Beluga
A400=B744	# AIRBUS A-400M
A4=E190	# DOUGLAS SUPER SKYHAWK
A660=E190	# THRUSH 660 TURBO THRUSH
A6=E190	# GRUMMAN INTRUDER
A748=E190	# AVRO AVRO 748
A7=E190	# VOUGHT CORSAIR II A7
AA5=E190	# GULFSTREAM Cheetah AA-5
AC11=E190	# ROCKWELL COMMANDER 112
AC90=E190	# ROCKWELL TURBO COMMANDER 690B
AC95=E190	# GULFSTREAM Jetprop Commander 980
AEST=E190	# TED SMITH AEROSTAR
AFOX=E190	# HALLEY APOLO FOX
AJET=E190	# DASSAULT ALPHA JET
ALSL=E190	# AIRLONY SKYLANE
AMX=E190	# EMBRAER AMX
AN12=E190	# ANTONOV AN-12
AN24=E190	# ANTONOV AN-24
AN26=E190	# ANTONOV AN-26
AN28=E190	# ANTONOV AN-28
AN30=E190	# ANTONOV AN-30
AN32=E190	# ANTONOV AN-32B
AN38=E190	# ANTONOV AN-38-100
AN72=E190	# ANTONOV AN-72
APM4=E190	# ISSOIRE APM 40 SIMBA
ASTR=E190	# IAI 1125 Astra
AT43=E190	# ATR ATR 42-300
AT44=E190	# ATR ATR 42-400
AT45=E190	# ATR ATR 42-500
AT46=E190	# ATR ATR 42-600
AT72=E190	# ATR ATR 72-200
AT73=E190	# ATR ATR 72-210
AT75=E190	# ATR ATR 72-500
AT76=E190	# ATR ATR 72-600
ATLA=E190	# DASSAULT 1150 ATLANTIC
ATP=E190	# BAE ADVANCED TURBOPROP
B190=E190	# BEECH 1900
B1=E190	# ROCKWELL B1 LANCER
B350=E190	# BEECH SUPER KING AIR 350
B461=E190	# BAE 146-100/RJ
B462=E190	# BAE 146-200/RJ
B463=E190	# BAE 146-300/RJ
B52=E190	# BOEING B-52 Stratofortress
B701=B737	# BOEING 707-100
B703=B744	# BOEING 707-300
B712=E190	# BOEING 717-200
B720=B737	# BOEING B720B
B721=B737	# BOEING 727-100
B722=E190	# BOEING 727-200
B731=B763	# BOEING 737-100
B732=B737	# BOEING 737-200
B733=B737	# BOEING 737-300
B737=B737	# BOEING 737-400
B735=B737	# BOEING 737-500
B736=B737	# BOEING 737-600
B737=B737	# BOEING 737-700
B738=B738	# BOEING 737-800
B739=B739	# BOEING 737-900
B741=B744	# BOEING 747-100
B742=B744	# BOEING 747-200
B743=B744	# BOEING 747-300
B744=B744	# BOEING 747-400
B744=B744	# BOEING 747-8
B74D=B744	# BOEING 747-400 DOMESTIC
B74R=B744	# BOEING 747SR
B74S=B744	# BOEING 747-SP
B752=B737	# BOEING 757-200
B753=B737	# BOEING 757-300
B762=B77W	# BOEING 767-200
B763=B77W	# BOEING 767-300
B764=B77W	# BOEING 767-400
B77W=B77W	# BOEING 777-200 ER
B773=B77W	# BOEING 777-300
B77L=B77W	# BOEING 777-200 LRF
B77W=B77W	# BOEING 777-300 ER
B788=B788	# BOEING 787-8
B789=B788	# BOEING 787-9
BA11=B737	# BAE 111 ALL SERIES
BDOG=E190	# BAE SA-3 BULLDOG
BE10=E190	# BEECH KING AIR 100
BE20=E190	# BEECH SUPER KING AIR 200
BE30=E190	# BEECH SUPER KING AIR 300
BE33=E190	# BEECH BONANZA 33
BE35=E190	# BEECH BONANZA 35
BE36=E190	# BEECH BONANZA 36
BE40=E190	# BEECH BEECHJET 400
BE55=E190	# BEECH BARON 55
BE58=E190	# BEECH BARON 58
BE60=E190	# BEECH DUKE 60
BE65=E190	# BEECH QUEEN AIR 65
BE76=E190	# BEECH DUCHESSE 76
BE95=E190	# BEECH TRAVEL AIR 95
BE99=E190	# BEECH AIRLINER C99
BE9L=E190	# BEECH KING AIR 90
BE9T=E190	# BEECH KING AIR F90
