corridor;lat;lon
1;52.42053;9.63055
1;52.35128;9.6478
1;52.34709;9.71912
1;52,33,670;9.72427
1;52.3431;9.7526
1;52.35002;9.79397
1;52.35893;9.86469
1;52.35925;9.88649
1;52.39687;9.89988
1;52.40106;9.87259
1;52.41142;9.84598
1;52.42954;9.80907
1;52.42849;9.79122
1;52.4264;9.74728
1;52.42859;9.68582
2;52.42053;9.63055
2;52.38985;9.68616
2;52.37874;9.69578
2;52.37895;9.71054
2;52.36061;9.7253
2;52.36113;9.73732
2;52.3431;9.7526
3;52.42859;9.68582
3;52.42399;9.68925
3;52.37948;9.73629
3;52.37298;9.75243
3;52.37298;9.77663
3;52.35002;9.79397
4;52.42399;9.68925
4;52.40504;9.75002
4;52.40546;9.80032
5;52.42849;9.79122
5;52.40546;9.80032
5;52.4043;9.8168
5;52.35893;9.86469
6;52.37298;9.77663
6;52.39278;9.79139
6;52.4043;9.8168
7;52.4043;9.8168
7;52.41142;9.84598
