corridor;lat;lon
1;52.353.377;9.865.723
1;52.358.829;9.866.066
1;52.368.472;9.856.796
1;523.778;9.844.437
1;52.397.863;9.822.979
1;52.400.848;9.820.147
1;52.403.414;9.816.027
1;52.404.461;9.808.903
1;5.240.556;9.798.603
1;52.406.556;9.788.303
1;52.406.137;9.775.515
1;52.405.247;9.761.095
1;52.405.665;975.174
1;52.406.713;9.743.328
1;52.409.174;9.734.316
1;52.414.461;971.981
1;52.419.749;970.479
1;52.422.366;9.697.752
1;52.423.884;9.690.027
1;52.423.622;9.666.853
1;52.423.256;9.655.437
1;52.422.314;9.643.936
2;52.348.999;9.805.555
2;52.353.167;9.796.114
2;52.358.069;9.787.574
2;52.369.311;9.781.952
2;52.373.163;9.781.737
2;52.376.569;9.782.252
2;52.380.577;9.784.312
2;52.389.116;9.786.243
2;52.393.516;9.792.252
2;52.398.386;9.808.388
2;52.400.638;9.813.366
2;52.403.414;9.816.027
2;52.404.618;9.816.971
2;52.407.498;9.824.953
2;52.408.912;9.842.892
2;52.414.409;9.852.934
3;52.315.458;9.701.099
3;52.320.652;971.097
3;5.232.317;9.714.832
3;52.326.108;9.716.291
3;52.330.933;9.719.982
3;52.334.657;9.732.599
3;52.337.332;9.745.045
3;52.339.692;9.752.169
3;52.341.475;9.760.151
3;52.343.834;9.776.287
3;52.346.246;9.789.848
3;52.348.134;9.800.835
3;52.348.999;9.805.555
3;52.351.542;9.819.202
3;52.354.373;9.827.099
3;52.354.792;9.838.085
3;52.352.957;9.851.389
3;52.353.377;9.865.723
4;52.417.707;9.632.435
4;52.412.996;9.634.066
4;52.407.289;9.633.121
4;5.240.111;9.629.517
4;52.394.406;9.624.882
4;52.387.335;9.621.534
4;52.383.144;9.624.023
4;52.361.659;9.632.778
4;52.335.654;9.643.078
4;52.324.744;9.659.729
4;52.315.458;9.701.099
4;52.300.711;9.713.459
4;52.286.432;9.738.522
4;52.279.817;9.795.513
4;52.255.024;9.836.712
4;52.253.027;9.846.497
4;52.255.549;9.860.401
4;52.261.434;9.865.379
4;52.353.377;9.865.723
4;52.361.292;988.615
4;52.377.905;9.895.077
4;52.395.611;9.895.506
4;52.403.885;9.889.927
4;5.241.043;9.880.142
4;52.414.409;9.852.934
4;52.419.435;9.837.313
4;52.424.983;9.826.326
4;52.430.583;9.811.563
4;52.431.787;9.797.401
4;52.428.385;9.775.772
4;52.427.914;9.761.009
4;52.426.605;9.748.993
4;524.276;9.726.162
4;52.428.699;9.711.227
4;52.429.746;9.701.185
4;52.428.699;9.682.732
4;52.426.082;9.664.192
4;52.422.314;9.643.936
4;52.420.848;9.637.585
4;52.419.958;963.398
4;52.417.707;9.632.435
